Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX91000017,EPA,No,,,,,3,HWFE,19,Federal Cert Diesel 7-15 PPM Sulfur,HWY,0.0008671,0.0023995,306.0102034,0.0226385,0.0011439,0.0030437,,33.3,MPG,33.2525099,,,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX91000017,EPA,No,,,,,3,HWFE,19,Federal Cert Diesel 7-15 PPM Sulfur,HWY,0.0008671,0.0023995,306.0102034,0.0226385,0.0011439,0.0030437,,33.3,MPG,33.2525099,,,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX91000017,EPA,No,,,,,3,HWFE,19,Federal Cert Diesel 7-15 PPM Sulfur,HWY,0.0008671,0.0023995,306.0102034,0.0226385,0.0011439,0.0030437,,33.3,MPG,33.2525099,,,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,Audi,ADX,AUDI,Touareg,EDV 93LD-TAQ,1,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,5500,3.90,32.4,1,Not eqipped,9ADX10000221,MFR,No,,,,,2,CVS 75 and later (w/o can. load),19,Federal Cert Diesel 7-15 PPM Sulfur,FTP,0.0305000,0.1030000,464.0000000,0.0240000,0.0010000,,,21.9,MPG,19.4000000,21.9000000,24.5000000,,59.000,0.38700,0.029600,-4.000,-0.12500,0.031000,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Touareg,EDV 93LD-TAQ,1,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,5500,3.90,32.4,1,Not eqipped,9ADX10000221,MFR,No,,,,,2,CVS 75 and later (w/o can. load),19,Federal Cert Diesel 7-15 PPM Sulfur,FTP,0.0305000,0.1030000,464.0000000,0.0240000,0.0010000,,,21.9,MPG,19.4000000,21.9000000,24.5000000,,59.000,0.38700,0.029600,-4.000,-0.12500,0.031000,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Touareg,EDV 93LD-TAQ,1,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,5500,3.90,32.4,1,Not eqipped,9ADX10000221,MFR,No,,,,,2,CVS 75 and later (w/o can. load),19,Federal Cert Diesel 7-15 PPM Sulfur,FTP,0.0305000,0.1030000,464.0000000,0.0240000,0.0010000,,,21.9,MPG,19.4000000,21.9000000,24.5000000,,59.000,0.38700,0.029600,-4.000,-0.12500,0.031000,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,Audi,ADX,AUDI,Touareg,EDV 93LD-TAQ,1,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,5500,3.90,32.4,1,Not eqipped,9ADX10000222,MFR,No,,,,,3,HWFE,19,Federal Cert Diesel 7-15 PPM Sulfur,HWY,0.0013000,0.0020000,296.0000000,0.0349000,0.0010000,,,34.4,MPG,34.4000000,,,,59.000,0.38700,0.029600,-4.000,-0.12500,0.031000,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Touareg,EDV 93LD-TAQ,1,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,5500,3.90,32.4,1,Not eqipped,9ADX10000222,MFR,No,,,,,3,HWFE,19,Federal Cert Diesel 7-15 PPM Sulfur,HWY,0.0013000,0.0020000,296.0000000,0.0349000,0.0010000,,,34.4,MPG,34.4000000,,,,59.000,0.38700,0.029600,-4.000,-0.12500,0.031000,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Touareg,EDV 93LD-TAQ,1,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,5500,3.90,32.4,1,Not eqipped,9ADX10000222,MFR,No,,,,,3,HWFE,19,Federal Cert Diesel 7-15 PPM Sulfur,HWY,0.0013000,0.0020000,296.0000000,0.0349000,0.0010000,,,34.4,MPG,34.4000000,,,,59.000,0.38700,0.029600,-4.000,-0.12500,0.031000,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,BMW,BMX,BMW,128i,VF06008,2,3.000,9BMXJ03.0E89,Both,230,6,2.8-M-N52-E82D,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,3500,3.23,37.8,1,Not eqipped,9BMX10001333,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0215700,0.0853000,355.1700000,0.0110000,,,,24.9,MPG,,,,,32.800,0.11800,0.017520,14.800,-0.11700,0.018870,TWC,Three-way catalyst,N,,,N,No averaging
