Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2017,Audi,ADX,AUDI,Q5,DFUB-Q5A,0,1.984,DADXT02.04UB,Truck,211,4,CPMA,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.76,30.3,1,Not eqipped,DADX10021373,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0254000,0.4600000,358.0000000,0.0260000,0.0030000,0.0036000,0.0100000,24.8,MPG,23.8000000,24.5000000,26.3000000,,,,,35.969,0.49555,0.020079,-15.512,0.25682,0.018624,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,Q5,DFUB-Q5A,0,1.984,DADXT02.04UB,Truck,211,4,CPMA,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.76,30.3,1,Not eqipped,DADX10021451,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0073000,0.1100000,230.0000000,0.0060000,,0.0030000,0.0100000,38.6,MPG,,,,,,,,35.969,0.49555,0.020079,-15.512,0.25682,0.018624,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,Q5,DFUB-Q5A,1,1.984,DADXJ02.0FUB,Both,211,4,CPMA,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.76,30.3,1,Not eqipped,DADX10022545,MFR,No,,,,,3,HWFE,38,E85 (85% Ethanol 15% EPA Unleaded Gasoline),HWY,0.0028000,0.1300000,229.0000000,0.0034000,,0.0030000,0.0100000,27.1,MPG,,,,,,,,35.969,0.49555,0.020079,-15.512,0.25682,0.018624,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,Q5,DFUB-Q5A,1,1.984,DADXJ02.0FUB,Both,211,4,CPMA,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.76,30.3,1,Not eqipped,DADX10022548,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),38,E85 (85% Ethanol 15% EPA Unleaded Gasoline),FTP,0.0139000,0.1630000,357.0000000,0.0279000,0,0.0061000,0.0100000,17.4,MPG,16.3000000,16.8000000,19.6000000,,,,,35.969,0.49555,0.020079,-15.512,0.25682,0.018624,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,RS7,E3UJ-RSQ,0,3.993,EADXV04.03UJ,Car,560,8,CRDB,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4750,3.08,27.2,1,Not eqipped,EADX10024738,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0164000,0.3500000,467.0000000,0.0190000,,0.0050000,0.0100000,19.1,MPG,18.5000000,18.3000000,21.7000000,,,,,62.947,0.02532,0.019439,2.473,-0.10450,0.017868,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,RS7,E3UJ-RSQ,0,3.993,EADXV04.03UJ,Car,560,8,CRDB,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4750,3.08,27.2,1,Not eqipped,EADX10024739,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0049000,0.0800000,474.0000000,0.0160000,,0.0015000,,18.9,MPG,,,,,,,,62.947,0.02532,0.019439,2.473,-0.10450,0.017868,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,RS7,E3UJ-RSQ,0,3.993,EADXV04.03UJ,Car,560,8,CRDB,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4750,3.08,27.2,1,Not eqipped,EADX10024740,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0304000,0.3700000,378.0000000,0.0110000,,0.0117000,,23.6,MPG,14.5000000,28.8000000,,,,,,62.947,0.02532,0.019439,2.473,-0.10450,0.017868,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,RS7,E3UJ-RSQ,0,3.993,EADXV04.03UJ,Car,560,8,CRDB,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4750,3.08,27.2,1,Not eqipped,EADX10024742,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.1658000,2.0900000,572.0000000,0.0170000,,0.0265000,,15.5,MPG,11.7000000,15.6000000,19.9000000,,,,,69.241,0.02785,0.021383,2.720,-0.09400,0.019654,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,RS7,E3UJ-RSQ,0,3.993,EADXV04.03UJ,Car,560,8,CRDB,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4750,3.08,27.2,1,Not eqipped,EADX10025150,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0269000,0.1800000,253.0000000,0.0020000,,0.0092000,0.0100000,35.3,MPG,,,,,,,,62.947,0.02532,0.019439,2.473,-0.10450,0.017868,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,RS7,E3UJ-RSQ,0,3.993,EADXV04.03UJ,Car,560,8,CRDB,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4750,3.08,27.2,1,Not eqipped,EADX10032622,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0239000,0.3600000,532.0000000,0.0360000,,0.0052000,0.0100000,16.8,MPG,16.3000000,15.6000000,20.2000000,,99.990000,99.990000,99.990000,62.947,0.02532,0.019439,2.473,-0.10450,0.017868,TWC,Three-way catalyst,N,,,N,No averaging
